1;0;1;400
2;0;2;200
3;0;3;60
4;0;4;80
5;0;5;150
6;0;6;75
7;0;7;75
8;0;8;30
9;0;9;160
10;0;10;30
11;0;11;25
12;0;12;35
13;1;0;400
14;1;2;50
15;1;3;120
16;1;4;20
17;1;5;180
18;1;6;90
19;1;7;90
20;1;8;15
21;1;9;130
22;1;10;20
23;1;11;10
24;1;12;10
25;1;13;5
26;2;0;200
27;2;1;50
28;2;3;40
29;2;4;60
30;2;5;180
31;2;6;90
32;2;7;90
33;2;8;15
34;2;9;45
35;2;10;20
36;2;11;10
37;2;12;10
38;2;13;5
39;3;0;60
40;3;1;120
41;3;2;40
42;3;4;50
43;3;5;100
44;3;6;50
45;3;7;50
46;3;8;15
47;3;9;240
48;3;10;40
49;3;11;25
50;3;12;10
51;3;13;5
52;4;0;80
53;4;1;20
54;4;2;60
55;4;3;50
56;4;5;50
57;4;6;25
58;4;7;25
59;4;8;10
60;4;9;120
61;4;10;20
62;4;11;15
63;4;12;5
64;5;0;150
65;5;1;180
66;5;2;180
67;5;3;100
68;5;4;50
69;5;6;100
70;5;7;100
71;5;8;30
72;5;9;880
73;5;10;60
74;5;11;15
75;5;12;15
76;5;13;10
77;6;0;75
78;6;1;90
79;6;2;90
80;6;3;50
81;6;4;25
82;6;5;100
83;6;7;50
84;6;8;15
85;6;9;440
86;6;10;35
87;6;11;10
88;6;12;10
89;6;13;5
90;7;0;75
91;7;1;90
92;7;2;90
93;7;3;50
94;7;4;25
95;7;5;100
96;7;6;50
97;7;8;15
98;7;9;440
99;7;10;35
100;7;11;10
101;7;12;10
102;7;13;5
103;8;0;30
104;8;1;15
105;8;2;15
106;8;3;15
107;8;4;10
108;8;5;30
109;8;6;15
110;8;7;15
111;8;9;140
112;8;10;20
113;8;11;5
114;9;0;160
115;9;1;130
116;9;2;45
117;9;3;240
118;9;4;120
119;9;5;880
120;9;6;440
121;9;7;440
122;9;8;140
123;9;10;600
124;9;11;250
125;9;12;500
126;9;13;200
127;10;0;30
128;10;1;20
129;10;2;20
130;10;3;40
131;10;4;20
132;10;5;60
133;10;6;35
134;10;7;35
135;10;8;20
136;10;9;600
137;10;11;75
138;10;12;95
139;10;13;15
140;11;0;25
141;11;1;10
142;11;2;10
143;11;3;25
144;11;4;15
145;11;5;15
146;11;6;10
147;11;7;10
148;11;8;5
149;11;9;250
150;11;10;75
151;11;12;70
152;12;0;35
153;12;1;10
154;12;2;10
155;12;3;10
156;12;4;5
157;12;5;15
158;12;6;10
159;12;7;10
160;12;9;500
161;12;10;95
162;12;11;70
163;12;13;45
164;13;1;5
165;13;2;5
166;13;3;5
167;13;5;10
168;13;6;5
169;13;7;5
170;13;9;200
171;13;10;15
172;13;12;45

