1;0;1;400
2;0;2;200
3;0;3;60
4;0;4;80
5;0;5;150
6;0;6;75
7;0;7;75
8;0;8;30
9;0;9;160
10;0;10;30
11;0;11;25
12;0;12;35
13;0;13;0
14;0;14;0
15;1;0;400
16;1;2;50
17;1;3;120
18;1;4;20
19;1;5;180
20;1;6;90
21;1;7;90
22;1;8;15
23;1;9;130
24;1;10;20
25;1;11;10
26;1;12;10
27;1;13;5
28;1;14;0
29;2;0;200
30;2;1;50
31;2;3;40
32;2;4;60
33;2;5;180
34;2;6;90
35;2;7;90
36;2;8;15
37;2;9;45
38;2;10;20
39;2;11;10
40;2;12;10
41;2;13;5
42;2;14;0
43;3;0;60
44;3;1;120
45;3;2;40
46;3;4;50
47;3;5;100
48;3;6;50
49;3;7;50
50;3;8;15
51;3;9;240
52;3;10;40
53;3;11;25
54;3;12;10
55;3;13;5
56;3;14;0
57;4;0;80
58;4;1;20
59;4;2;60
60;4;3;50
61;4;5;50
62;4;6;25
63;4;7;25
64;4;8;10
65;4;9;120
66;4;10;20
67;4;11;15
68;4;12;5
69;4;13;0
70;4;14;0
71;5;0;150
72;5;1;180
73;5;2;180
74;5;3;100
75;5;4;50
76;5;6;100
77;5;7;100
78;5;8;30
79;5;9;880
80;5;10;60
81;5;11;15
82;5;12;15
83;5;13;10
84;5;14;0
85;6;0;75
86;6;1;90
87;6;2;90
88;6;3;50
89;6;4;25
90;6;5;100
91;6;7;50
92;6;8;15
93;6;9;440
94;6;10;35
95;6;11;10
96;6;12;10
97;6;13;5
98;6;14;0
99;7;0;75
100;7;1;90
101;7;2;90
102;7;3;50
103;7;4;25
104;7;5;100
105;7;6;50
106;7;8;15
107;7;9;440
108;7;10;35
109;7;11;10
110;7;12;10
111;7;13;5
112;7;14;0
113;8;0;30
114;8;1;15
115;8;2;15
116;8;3;15
117;8;4;10
118;8;5;30
119;8;6;15
120;8;7;15
121;8;9;140
122;8;10;20
123;8;11;5
124;8;12;0
125;8;13;0
126;8;14;0
127;9;0;160
128;9;1;130
129;9;2;45
130;9;3;240
131;9;4;120
132;9;5;880
133;9;6;440
134;9;7;440
135;9;8;140
136;9;10;600
137;9;11;250
138;9;12;500
139;9;13;200
140;9;14;0
141;10;0;30
142;10;1;20
143;10;2;20
144;10;3;40
145;10;4;20
146;10;5;60
147;10;6;35
148;10;7;35
149;10;8;20
150;10;9;600
151;10;11;75
152;10;12;95
153;10;13;15
154;10;14;0
155;11;0;25
156;11;1;10
157;11;2;10
158;11;3;25
159;11;4;15
160;11;5;15
161;11;6;10
162;11;7;10
163;11;8;5
164;11;9;250
165;11;10;75
166;11;12;70
167;11;13;0
168;11;14;0
169;12;0;35
170;12;1;10
171;12;2;10
172;12;3;10
173;12;4;5
174;12;5;15
175;12;6;10
176;12;7;10
177;12;8;0
178;12;9;500
179;12;10;95
180;12;11;70
181;12;13;45
182;12;14;0
183;13;0;0
184;13;1;5
185;13;2;5
186;13;3;5
187;13;4;0
188;13;5;10
189;13;6;5
190;13;7;5
191;13;8;0
192;13;9;200
193;13;10;15
194;13;11;0
195;13;12;45
196;13;14;0
197;14;0;0
198;14;1;0
199;14;2;0
200;14;3;0
201;14;4;0
202;14;5;0
203;14;6;0
204;14;7;0
205;14;8;0
206;14;9;0
207;14;10;0
208;14;11;0
209;14;12;0
210;14;13;0
